state,sector,date,value
Johor,domestic,01/01/2020,867
Kedah,domestic,01/01/2020,574
Kelantan,domestic,01/01/2020,170
Melaka,domestic,01/01/2020,215
Negeri Sembilan,domestic,01/01/2020,318
Pahang,domestic,01/01/2020,367
Perak,domestic,01/01/2020,706
Perlis,domestic,01/01/2020,78
Pulau Pinang,domestic,01/01/2020,533
Sabah,domestic,01/01/2020,313
Sarawak,domestic,01/01/2020,548
Selangor,domestic,01/01/2020,2186
Terengganu,domestic,01/01/2020,286
Labuan,domestic,01/01/2020,17
Kuala Lumpur,domestic,01/01/2020,
Putrajaya,domestic,01/01/2020,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
