state,date,population
Johor,01/01/2021,4020
Kedah,01/01/2021,2151.7
Kelantan,01/01/2021,1812.3
Melaka,01/01/2021,1004.5
Negeri Sembilan,01/01/2021,1204.2
Pahang,01/01/2021,1601.5
Perak,01/01/2021,2515.8
Perlis,01/01/2021,287.6
Pulau Pinang,01/01/2021,1740
Sabah,01/01/2021,3412.6
Sarawak,01/01/2021,2465.6
Selangor,01/01/2021,7014.7
Terengganu,01/01/2021,1170.7
Kuala Lumpur,01/01/2021,1964
Labuan,01/01/2021,96
Putrajaya,01/01/2021,115.2
